country,lat,long,confirmed,deaths,recovered,color
China,"[31.8257, 40.1824, 30.0572, 26.0789, 35.7518, 23.3417, 23.8298, 26.8154, 19.1959, 37.8957, 47.862, 33.882, 22.3, 30.9756, 27.6104, 44.0935, 32.9711, 27.614, 43.6661, 41.2956, 22.1667, 37.2692, 35.7452, 35.1917, 36.3427, 31.202, 37.5777, 30.6171, 39.3054, 31.6927, 41.1129, 24.974, 29.1832, nan]","[117.2264, 116.4142, 107.874, 117.9874, 104.2861, 113.4244, 108.7881, 106.8748, 109.7453, 114.9042, 127.7615, 113.614, 114.2, 112.2707, 111.7088, 113.9448, 119.455, 115.7221, 126.1923, 122.6085, 113.55, 106.1655, 95.9956, 108.8701, 118.1498, 121.4491, 112.2922, 102.7103, 117.323, 88.0924, 85.2401, 101.487, 120.0934, nan]",0.6813544788873153,0.19061649463694083,0.9543387001046473,"[0.7626352589238132, 0.1752267422114744, 0.8766423635498891, 0.9999999999999998]"
Colombia,"[-1.4429, 7.1986, 7.0762, 10.6966, 8.6704, 5.4545, 5.2983, 4.711, 0.8699, 5.7589, 2.705, 9.3373, 5.2528, 8.0493, 5.026, 2.5854, 1.0654, 2.5359, 11.3548, 10.4113, 3.272, 1.2892, 7.9463, 0.436, 4.461, 5.3158, 12.5567, 6.6437, 8.814, 4.0925, nan, 3.8009, 0.8554, 4.4234]","[-71.5724, -75.3412, -70.7105, -74.8741, -74.03, -73.362, -75.2479, -74.0721, -73.8419, -71.5724, -76.826, -73.6536, -76.826, -75.574, -74.03, -68.5247, -73.2603, -75.5277, -72.5205, -74.4057, -73.0877, -77.3579, -72.8988, -75.5277, -75.6674, -75.9928, -81.7185, -73.6536, -74.7233, -75.1545, nan, -76.6413, -70.812, -69.2878]",0.8507975295869477,0.10170145681666497,0.9401489954199928,"[0.8323828276472601, 0.09803053553272069, 0.8968557422697417, 0.9999999999999997]"
Comoros,[-11.6455],[43.3333],0.40162226967024106,0.058587604976246724,0.8853574340588773,"[0.4262378005962062, 0.06407503601160237, 0.9056268700799729, 0.9999999999999998]"
Congo (Brazzaville),[-0.228],[15.8277],0.5267072035243605,0.0591672534979719,0.8659736698610865,"[0.5206610949558041, 0.06431510012035828, 0.8393339516073739, 0.9999999999999998]"
Congo (Kinshasa),[-4.0383],[21.7587],0.581883942284952,0.12759511902004986,0.862071572940489,"[0.5796461536471145, 0.07026528374265154, 0.849043999078598, 0.9999999999999998]"
Costa Rica,[9.7489],[-83.7534],0.7150004161244614,0.0503009851834509,0.8311715926140366,"[0.7143469926102517, 0.05772500033683188, 0.8581577787941278, 0.9999999999999998]"
Cote d'Ivoire,[7.54],[-5.5471],0.5953078864170799,0.023921069548394208,0.9812722135724767,"[0.5965056013327484, 0.02948561269172172, 0.9808689892876835, 0.9999999999999997]"
Croatia,[45.1],[15.2],0.7284234296069715,0.07353060592470359,0.962257512942438,"[0.7438264385866855, 0.05808961314387119, 0.938527032894983, 0.9999999999999998]"
Cuba,[21.521757],[-77.781167],0.5589157069691268,0.04657432443710115,0.8940648693661744,"[0.5529314360611085, 0.06384734847077081, 0.9185602046230437, 0.9999999999999998]"
Cyprus,[35.1264],[33.4299],0.5975850557327316,0.021526355266518343,0.1213301161405033,"[0.7006290373016049, 0.055482460012194, 0.17970957032474583, 0.9999999999999997]"
Czechia,[49.8175],[15.473],0.802223429894575,0.06258418095094875,0.8693640411070245,"[0.7732171561812029, 0.08271742522512573, 0.9071579940674516, 0.9999999999999998]"
Denmark,"[61.8926, 71.7069, 56.2639]","[-6.9118, -42.6043, 9.5018]",0.714599576241669,0.031248921831397512,0.8476270443869868,"[0.7143469926102517, 0.05772500033683188, 0.8581577787941278, 0.9999999999999998]"
Diamond Princess,[nan],[nan],0.39014572975583683,0.07098253809624265,0.9867688416308665,"[0.41907802024774277, 0.06324967144467625, 0.9181169772779951, 0.9999999999999998]"
Djibouti,[11.8251],[42.5903],0.5150584621507988,0.04075752206250337,0.9872233729915378,"[0.5136998434008647, 0.06631988552748032, 0.9607659556754645, 0.9999999999999998]"
Dominica,[15.415],[-61.371],0.26656933782260356,0.0,0.9584208962486007,"[0.20808597757743602, 0.012350249966470729, 0.9404759002696657, 0.9999999999999997]"
Dominican Republic,[18.7357],[-70.1627],0.716264945338932,0.054418448744228465,0.8194969827080998,"[0.6905522871257302, 0.06272281629171582, 0.8398528258267299, 0.9999999999999998]"
Ecuador,[-1.8312],[-78.1834],0.7290499053802255,0.24903838133870593,0.8953959790377243,"[0.7439836856304094, 0.22170563123095546, 0.8576423872750673, 0.9999999999999998]"
Egypt,[26.820553],[30.802498],0.7040789854565874,0.20985031750876681,0.8524141372277703,"[0.7206829907677831, 0.1729878661367669, 0.84382189954224, 0.9999999999999998]"
El Salvador,[13.7942],[-88.8965],0.6386378480925659,0.1096819335011395,0.9869484708933186,"[0.6641968161313372, 0.04079406165261253, 0.9669388264531499, 0.9999999999999998]"
Equatorial Guinea,[1.6508],[10.2679],0.5090290787772411,0.06341899754335288,0.9805958823566853,"[0.5136998434008647, 0.06631988552748032, 0.9607659556754645, 0.9999999999999998]"
Eritrea,[15.1794],[39.7823],0.426767857978325,0.008905890886944719,0.5725222432203553,"[0.4790807876112185, 0.11150127711719825, 0.6169818939898354, 0.9999999999999997]"
Estonia,[58.5953],[25.0136],0.6097790045837859,0.032704090311871395,0.737336380628099,"[0.6084903336118311, 0.08983186781131709, 0.725715865328886, 0.9999999999999998]"
